form	field	widget_idx	class	via	signal	detail
AD-008	foster_care_expenses_details	1	needs_review	vision_confirmed	ocr	token_offset
AD-008	living_expenses_details	1	needs_review	vision_confirmed	ocr	token_offset
AD-008	medical_expenses_details	0	needs_review	vision_confirmed	ocr	token_offset
AD-008	notary_date	0	needs_review	codex_major	ocr	token_missing
AD-026	oath_petitioner_2_name	0	needs_review	vision_confirmed	analytic	{"print_overlap": [",", "and"]}
AF-102	notary_county	0	needs_review	vision_confirmed	ocr	token_offset
AF-105	dependents_list	2	needs_review	vision_confirmed	analytic	{"print_overlap": ["CASH", "ASSETS:"], "starts_under_label": ["CASH"]}
AF-105	expected_payments_explanation	1	needs_review	vision_confirmed	analytic	{"print_overlap": ["OTHER", "ASSETS:"]}
AF-105	insurance_pension_value	1	needs_review	vision_confirmed	analytic	{"print_overlap": ["EXPENSES:"]}
AF-105	other_income_specify	0	needs_review	vision_confirmed	ocr	token_offset
AF-105	stocks_bonds_specify	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["$", "e.", "Cash", "posted", "as", "bail"], "sits_below_line": -3.5}
AF-105	vehicle_registration	0	needs_review	codex_major	analytic	{"print_overlap": ["etc.)", "having", "a", "value", "of"], "no_line_support": true}
DE-101(I)	decedent_date_of_birth	0	needs_review	codex_major	analytic	{"print_overlap": ["10.", "Domicile", "(i.e.", "town/city", "of", "permanent"], "no_line_support": true}
DE-403	condition_decedent_residence	0	needs_review	vision_confirmed	analytic	{"print_overlap": [",", "to", "this", "Estate", "according"], "sits_below_line": -3.4}
DE-403	penal_sum_words	0	needs_review	codex_major	ocr	token_offset
DE-403	personal_property_surety_1_description	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["Personal", "Property:"]}
DE-403	personal_property_surety_2_description	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["Personal", "Property:"]}
DE-403	real_property_surety_1_description_1	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["Real", "Property:"], "starts_under_label": ["Real"]}
DE-403	real_property_surety_1_description_2	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["Real", "Property:"], "starts_under_label": ["Real"]}
DE-403	real_property_surety_2_description_1	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["Real", "Property:"], "starts_under_label": ["Real"]}
DE-403	real_property_surety_2_description_2	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["Real", "Property:"], "starts_under_label": ["Real"]}
DE-507	former_pr_name	0	needs_review	codex_major	analytic	{"print_overlap": ["of"]}
GS-014	guardian_statement_name	0	needs_review	vision_confirmed	analytic	{"print_overlap": [",", "state", "this", "is", "an", "accurate"]}
GS-014	other_treatment_type	0	needs_review	vision_confirmed	analytic	{"sits_below_line": -9.8}
MISC-101	service_recipients	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["zip", "code)"], "starts_under_label": ["zip"]}
N-108	ward_name	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["(name", "of", "minor", "or", "individual"]}
N-115	pr_address	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["other", "persons", "entitled", "to", "notice", "by"], "no_line_support": true}
N-115	probate_court_address	0	needs_review	vision_confirmed	analytic	{"print_overlap": [",", "Maine.", "(street", "or", "mailing", "address)"], "sits_below_line": -3.5}
N-118	appointment_of_conservator_individual_name	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["(Individual", "of", "this", "Order.2"], "sits_below_line": -3.5}
N-118	appointment_of_guardian_individual_name	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["(Individual", "modification", "of", "this", "Order.1"], "sits_below_line": -3.4}
N-118	change_in_dwelling_new_address	0	needs_review	codex_major	analytic	{"print_overlap": ["(address)."], "sits_below_line": -2.8}
N-118	change_in_permanent_dwelling_nature_of_dwelling	0	needs_review	vision_confirmed	analytic	{"sits_below_line": -15.0}
N-118	change_in_permanent_dwelling_new_address	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["(address).", "The", "nature", "of", "this", "dwelling"], "sits_below_line": -2.8}
N-118	conservators_report_and_accounting_court_address	1	needs_review	codex_major	analytic	{"print_overlap": ["(address)."], "sits_below_line": -3.5}
N-118	docket_number	0	needs_review	vision_confirmed	ocr	token_offset
N-118	inventory_filed_court_name	0	needs_review	codex_major	analytic	{"print_overlap": ["County"]}
N-118	restrictions_on_contact_court_contact_info	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["6", "(address", "and", "phone", "number)"], "sits_below_line": -3.5}
N-118	revised_conservatorship_plan_filed_court_address	0	needs_review	vision_confirmed	analytic	{"print_overlap": ["(address).", "Plan", "will", "be", "implemented", "unless"], "sits_below_line": -3.5}
