form_id,category,field_name,field_type,page,nearby_label,confidence,x0,y0,x1,y1
AD-001,adoption,court_county,text,0,County:,0.9,89.6,85.5,198.1,104.0
AD-001,adoption,adoptee_location,text,0,LOCATION:,0.9,440.2,85.5,558.2,104.0
AD-001,adoption,case_number,text,0,Docket No.,0.9,104.8,100.0,198.1,118.5
AD-001,adoption,case_number_2,text,0,Docket No.,0.9,431.7,100.0,558.2,118.5
AD-001,adoption,adoptee_dhhs_and,checkbox,0,(DHHS) and:,0.7,81.0,638.0,94.6,651.5
AD-001,adoption,court_county_2,checkbox,0,Petitioner(s) reside in this county;,0.7,81.0,651.5,94.6,665.0
AD-001,adoption,court_county_3,checkbox,0,Adoptee resides or was born in this county;,0.7,81.0,665.0,94.6,678.5
AD-001,adoption,court_county_4,checkbox,0,An office of the agency that placed the adoptee for adoption or of DHHS is located in this county; or,0.7,81.0,678.5,94.6,692.0
AD-001,adoption,minor_b_the_adoptee_is_not_placed_by_a_license,checkbox,1,B. The adoptee IS NOT placed by a licensed child placing agency or DHHS and:,0.7,81.0,66.8,94.6,80.3
AD-001,adoption,court_county_5,checkbox,1,Adoptee resides in this county; and/or,0.7,81.0,80.3,94.6,93.5
AD-001,adoption,adoptee_5_adoptee_is_in_the_legal_custody_of_cho,checkbox,1,5. Adoptee is in the legal custody of (choose one):,0.7,72.0,119.0,85.5,132.5
AD-001,adoption,court_dhhs_pursuant_to_a_court_order_or_a_duly,checkbox,1,___________________________________________________ DHHS pursuant to a court order or a duly,0.7,72.0,145.0,85.5,158.5
AD-001,adoption,petitioner_petitioner_s_attach_all_documents_provin,checkbox,1,"Petitioner(s). Attach all documents proving legal custody, including divorce decrees or other court order;",0.7,72.0,171.3,85.5,184.8
AD-001,adoption,gal_other_attach_an_affidavit_with_an_explan,checkbox,1,Other. Attach an affidavit with an explanation of legal custody and all documents proving legal custody.,0.7,72.0,197.3,85.5,210.8
AD-001,adoption,adoptee_8_custody_proceedings_i_we_check_all_tha,checkbox,1,8. Custody Proceedings. I/We (check all that apply):,0.7,72.0,417.4,85.5,430.9
AD-001,adoption,adoptee_have_has_information_of_a_custody_procee,checkbox,1,have/has information of a custody proceeding concerning the adoptee pending in a court in Maine or some,0.7,72.0,447.4,85.5,460.9
AD-001,adoption,adoptee_know_s_of_a_person_not_a_party_to_this_c,radio,1,"know(s) of a person, not a party to this case, who has physical custody of the adoptee or claims to have",0.7,72.0,477.6,85.5,491.1
AD-001,adoption,adoptee_9_birth_record_or_delayed_birth_registra,checkbox,1,9. Birth Record or Delayed Birth Registration (CHOOSE ONE):,0.7,72.0,558.2,85.5,571.7
AD-001,adoption,adoptee_a_certified_copy_of_the_birth_record_of_,checkbox,1,A certified copy of the birth record of the adoptee is attached; or,0.7,72.0,571.7,85.5,585.2
AD-001,adoption,adoptee_option,checkbox,2,,0.7,85.5,66.8,99.1,80.3
AD-001,adoption,adoptee_option_2,checkbox,2,,0.7,87.5,123.8,101.1,137.3
AD-001,adoption,adoptee_full_name,text,2,Name of tribe:,0.9,175.1,156.0,558.2,175.0
AD-001,adoption,petitioner_please_note_the_petitioner_s_must_provid,text,2,PLEASE NOTE : The petitioner(s) must provide notice of this petition and the,0.9,175.6,168.8,252.1,187.8
