field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county_probate_court,County Probate Court,,text,entity_name,case_constant,county_probate_court,,,0,green,Y,,,case_dict.county_probate_court,populate_from_case_dict
docket_no,Docket No.,,text,docket_number,case_constant,docket_no,,,0,green,Y,,,case_dict.docket_no,populate_from_case_dict
minor_child_name,Minor Child Name,W003,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
first_legal_parent_info,First Legal Parent Info,W005,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
second_legal_parent_info,Second Legal Parent Info,W007,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
guardian_info,Guardian Info,W009,text,text,narrative_derived,free_text,,,37,orange,,Y,,llm_over_narrative,
petitioner_info,Petitioner Info,W011,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
petitioner_relationship,Petitioner Relationship,W013,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
oath_no_pending_district,Oath No Pending District,W014,text,checkbox,legal_choice,oath_no_pending_district,,,28,yellow,,,Y,human_decision,
oath_no_pending_probate,Oath No Pending Probate,W015,text,checkbox,legal_choice,oath_no_pending_probate,,,20,yellow,,,Y,human_decision,
oath_no_pending_other_state,Oath No Pending Other State,W016,text,checkbox,legal_choice,oath_no_pending_other_state,,,28,yellow,,,Y,human_decision,
oath_no_transferred,Oath No Transferred,W017,text,checkbox,legal_choice,oath_no_transferred,,,20,yellow,,,Y,human_decision,
checked_first_parent,Checked First Parent,,select_one,checkbox,legal_choice,checked_first_parent,,,60,orange,,,Y,human_decision,
checked_guardian,Checked Guardian,,select_one,checkbox,legal_choice,checked_guardian,,,48,orange,,,Y,human_decision,
checked_second_parent,Checked Second Parent,,select_one,checkbox,legal_choice,checked_second_parent,,,28,yellow,,,Y,human_decision,
checked_probate_register,Checked Probate Register,,select_one,checkbox,legal_choice,checked_probate_register,,,40,orange,,,Y,human_decision,
probate_register_name,Probate Register Name,W022,text,text,case_constant,probate_register_name,,,0,green,Y,,,case_dict.probate_register_name,populate_from_case_dict
checked_district_clerk,Checked District Clerk,,select_one,checkbox,legal_choice,checked_district_clerk,,,40,orange,,,Y,human_decision,
checked_district_clerk_cases,Checked District Clerk Cases,,select_one,checkbox,legal_choice,checked_district_clerk_cases,,,40,orange,,,Y,human_decision,
district_clerk_name,District Clerk Name,W026,text,text,case_constant,district_clerk_name,,,0,green,Y,,,case_dict.district_clerk_name,populate_from_case_dict
district_case_docket,District Case Docket,W027,text,docket_number,case_constant,district_case_docket,,,0,green,Y,,,case_dict.district_case_docket,populate_from_case_dict
district_case_name,District Case Name,W028,text,text,case_constant,district_case_name,,,0,green,Y,,,case_dict.district_case_name,populate_from_case_dict
oath_district_order_affects,Oath District Order Affects,W029,text,checkbox,legal_choice,oath_district_order_affects,,,20,yellow,,,Y,human_decision,
petitioner_signature,Petitioner Signature,W031,text,signature,signature,petitioner_signature,,,5,green,,,Y,wet_ink,
signature_date,Signature Date,W032,text,signature,signature,signature_date,,,5,green,,,Y,wet_ink,
notary_county,Notary County,W033,text,text,party_attr,notary,,,0,green,Y,,,notary_record.notary,
notary_petitioner_name,Notary Petitioner Name,W034,text,text,party_attr,notary,,,0,green,Y,,,notary_record.notary,
notary_date,Notary Date,W035,text,signature,signature,notary_date,,,5,green,,,Y,wet_ink,
notary_public_name,Notary Public Name,W036,text,text,party_attr,notary,,,0,green,Y,,,notary_record.notary,
