field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county,County,,text,text,case_constant,county,,,0,green,Y,,,case_dict.county,populate_from_case_dict
docket_number,Docket Number,,text,docket_number,case_constant,docket_number,,,0,green,Y,,,case_dict.docket_number,populate_from_case_dict
case_name,Case Name,,text,text,case_constant,case_name,,,0,green,Y,,,case_dict.case_name,populate_from_case_dict
appellant_name,Appellant Name,,text,text,narrative_derived,free_text,,,13,green,,Y,,llm_over_narrative,
appellant_address,Appellant Address,,text,address,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
judgment_date,Judgment Date,,date,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
statement_of_issues,Statement Of Issues,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
transcript_status,Transcript Status,,select_one,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
filing_date,Filing Date,,date,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
appellant_signature,Appellant Signature,,text,signature,signature,appellant_signature,,,5,green,,,Y,wet_ink,
attorney_name,Attorney Name,,text,person_name,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_address,Attorney Address,W014,text,address,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_phone,Attorney Phone,,text,phone,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_bar_number,Attorney Bar Number,,text,bar_number,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_email,Attorney Email,,text,email,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
