field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county,County,,text,text,case_constant,county,,,0,green,Y,,,case_dict.county,populate_from_case_dict
docket_number,Docket Number,,text,docket_number,case_constant,docket_number,,,0,green,Y,,,case_dict.docket_number,populate_from_case_dict
current_legal_name,Current Legal Name,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
petitioner_first_name,Petitioner First Name,,text,text,party_attr,petitioner,,,0,green,Y,,,petitioner_record.petitioner,
petitioner_middle_name,Petitioner Middle Name,,text,text,party_attr,petitioner,,,0,green,Y,,,petitioner_record.petitioner,
petitioner_last_name,Petitioner Last Name,,text,text,party_attr,petitioner,,,0,green,Y,,,petitioner_record.petitioner,
petitioner_address,Petitioner Address,W007,text,address,party_attr,petitioner,,,0,green,Y,,,petitioner_record.petitioner,
petitioner_email_address,Petitioner Email Address,,text,address,party_attr,petitioner,,,0,green,Y,,,petitioner_record.petitioner,
petitioner_date_of_birth,Petitioner Date Of Birth,,date,date,party_attr,petitioner,,,0,green,Y,,,petitioner_record.petitioner,
petitioner_prior_names,Petitioner Prior Names,W013,text,text,narrative_derived,free_text,,,25,yellow,,Y,,llm_over_narrative,
desired_first_name,Desired First Name,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
desired_middle_name,Desired Middle Name,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
desired_last_name,Desired Last Name,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
reasons_for_change,Reasons For Change,W019,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
request_confidential_order,Request Confidential Order,,enabler,checkbox,legal_choice,request_confidential_order,,,20,yellow,,,Y,human_decision,
confidentiality_reasons,Confidentiality Reasons,W025,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
request_no_notification,Request No Notification,,enabler,checkbox,legal_choice,request_no_notification,,,20,yellow,,,Y,human_decision,
no_notification_reasons,No Notification Reasons,W029,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
filing_date,Filing Date,,date,date,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
petitioner_signature,Petitioner Signature,,text,signature,signature,petitioner_signature,,,5,green,,,Y,wet_ink,
attorney_signature,Attorney Signature,,text,signature,signature,attorney_signature,,,5,green,,,Y,wet_ink,
attorney_name,Attorney Name,,text,person_name,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_address,Attorney Address,W036,text,address,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_phone_number,Attorney Phone Number,,text,phone,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_bar_number,Attorney Bar Number,,text,bar_number,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_email_address,Attorney Email Address,,text,address,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
notary_county,Notary County,,text,text,party_attr,notary,,,0,green,Y,,,notary_record.notary,
notary_date,Notary Date,,date,signature,signature,notary_date,,,5,green,,,Y,wet_ink,
notary_petitioner_name,Notary Petitioner Name,,text,text,party_attr,notary,,,8,green,Y,,,notary_record.notary,
notary_title,Notary Title,,text,text,party_attr,notary,,,0,green,Y,,,notary_record.notary,
notary_printed_name,Notary Printed Name,,text,text,party_attr,notary,,,0,green,Y,,,notary_record.notary,
