field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county_probate_court,County Probate Court,W001,text,entity_name,case_constant,county_probate_court,,,0,green,Y,,,case_dict.county_probate_court,populate_from_case_dict
docket_number,Docket Number,W002,text,docket_number,case_constant,docket_number,,,0,green,Y,,,case_dict.docket_number,populate_from_case_dict
decedent_name_caption,Decedent Name Caption,W003,text,text,case_constant,caption,,,12,green,Y,,,case_dict.caption,populate_from_case_dict
applicant_full_name,Applicant Full Name,W004,text,text,party_attr,applicant,,,28,yellow,Y,,,applicant_record.applicant,
applicant_contact_info,Applicant Contact Info,W005,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
applicant_legal_interest,Applicant Legal Interest,,select_many,text,party_attr,applicant,,,0,green,Y,,,applicant_record.applicant,
applicant_legal_interest_other,Applicant Legal Interest Other,W010,text,text,party_attr,applicant,,,0,green,Y,,,applicant_record.applicant,
personal_representative_name_address,Personal Representative Name Address,W012,text,text,party_attr,form_subject,,,0,green,Y,,,form_subject_record.form_subject,
personal_representative_relationship,Personal Representative Relationship,,select_one,text,narrative_derived,free_text,,,45,orange,,Y,,llm_over_narrative,
prior_equal_right_explanation,Prior Equal Right Explanation,W018,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
decedent_full_name,Decedent Full Name,W019,text,person_name,party_attr,decedent,,,12,green,Y,,,decedent_record.decedent,"equals_field(decedent_name_caption, caption)"
decedent_date_of_death,Decedent Date Of Death,W020,date,date,narrative_derived,event_date,,,37,orange,,Y,,llm_over_narrative,"date_order(decedent_date_of_birth, >)"
decedent_date_of_birth,Decedent Date Of Birth,W021,text,text,party_attr,decedent,,,0,green,Y,,,decedent_record.decedent,
decedent_domicile,Decedent Domicile,W022,text,text,party_attr,decedent,,,8,green,Y,,,decedent_record.decedent,
heir_1_name,Heir 1 Name,,text,text,narrative_derived,repeating_slot,heir,1,20,yellow,,Y,,llm_over_narrative,
heir_1_address,Heir 1 Address,,text,address,narrative_derived,repeating_slot,heir,1,20,yellow,,Y,,llm_over_narrative,
heir_1_dob,Heir 1 Dob,,date,text,narrative_derived,repeating_slot,heir,1,20,yellow,,Y,,llm_over_narrative,
heir_1_relationship,Heir 1 Relationship,,text,text,narrative_derived,repeating_slot,heir,1,20,yellow,,Y,,llm_over_narrative,
heir_2_name,Heir 2 Name,,text,text,narrative_derived,repeating_slot,heir,2,20,yellow,,Y,,llm_over_narrative,
heir_2_address,Heir 2 Address,,text,address,narrative_derived,repeating_slot,heir,2,20,yellow,,Y,,llm_over_narrative,
heir_2_dob,Heir 2 Dob,,date,text,narrative_derived,repeating_slot,heir,2,20,yellow,,Y,,llm_over_narrative,
heir_2_relationship,Heir 2 Relationship,,text,text,narrative_derived,repeating_slot,heir,2,20,yellow,,Y,,llm_over_narrative,
heir_3_name,Heir 3 Name,,text,text,narrative_derived,repeating_slot,heir,3,20,yellow,,Y,,llm_over_narrative,
heir_3_address,Heir 3 Address,,text,address,narrative_derived,repeating_slot,heir,3,20,yellow,,Y,,llm_over_narrative,
heir_3_dob,Heir 3 Dob,,date,text,narrative_derived,repeating_slot,heir,3,20,yellow,,Y,,llm_over_narrative,
heir_3_relationship,Heir 3 Relationship,,text,text,narrative_derived,repeating_slot,heir,3,20,yellow,,Y,,llm_over_narrative,
heir_4_name,Heir 4 Name,,text,text,narrative_derived,repeating_slot,heir,4,20,yellow,,Y,,llm_over_narrative,
heir_4_address,Heir 4 Address,,text,address,narrative_derived,repeating_slot,heir,4,20,yellow,,Y,,llm_over_narrative,
