field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
court_type,Court Type,,select_one,checkbox,legal_choice,court_type,,,20,yellow,,,Y,human_decision,
county_probate,County Probate,W001,text,entity_name,case_constant,county,,,0,green,Y,,,case_dict.county,populate_from_case_dict
docket_no_probate,Docket No Probate,W003,text,docket_number,case_constant,docket_no_probate,,,0,green,Y,,,case_dict.docket_no_probate,populate_from_case_dict
district_court_location,District Court Location,W002,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
docket_no_district,Docket No District,W004,text,docket_number,case_constant,docket_no_district,,,0,green,Y,,,case_dict.docket_no_district,populate_from_case_dict
case_title,Case Title,W005,text,text,case_constant,case_caption,,,0,green,Y,,,case_dict.case_caption,populate_from_case_dict
appointment_level,Appointment Level,,select_one,text,legal_choice,appointment_scope,,,20,yellow,,,Y,human_decision,"value_in(limited, standard, expanded)"
minor_children_names,Minor Children Names,W012,text,text,party_attr,minor_children,,,0,green,Y,,,minor_record.minor_children,
gal_name,Gal Name,W015,text,person_name,party_attr,gal,,,0,green,Y,,,gal_record.gal,
gal_contact_info,Gal Contact Info,W017,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
gal_roster_status,Gal Roster Status,,select_one,text,narrative_derived,gal_roster,,,5,green,,Y,,llm_over_narrative,"value_in(rostered, on_roster, not_rostered, waived)"
good_cause_findings,Good Cause Findings,,select_many,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
other_qualifications_detail,Other Qualifications Detail,W022,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
objection_status,Objection Status,,select_one,text,narrative_derived,objection_status,,,5,green,,Y,,llm_over_narrative,"value_in(no_objection_to_appointment, none, objecting, objects)"
objecting_parties_appointment,Objecting Parties Appointment,,select_many,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
other_objector_name_appointment,Other Objector Name Appointment,W028,text,person_name,party_attr,other_objector,,,0,green,Y,,,objector_record.other_objector,
appointment_factors,Appointment Factors,W029,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
objecting_parties_fee,Objecting Parties Fee,,select_many,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
other_objector_name_fee,Other Objector Name Fee,W035,text,person_name,party_attr,other_objector,,,0,green,Y,,,objector_record.other_objector,
fee_factors,Fee Factors,W036,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
limited_duties,Limited Duties,W040,text,text,narrative_derived,conditional_section_child,,,5,green,,Y,,llm_over_narrative,
limited_hearing_appearance,Limited Hearing Appearance,,select_many,text,narrative_derived,conditional_section_child,,,5,green,,Y,,llm_over_narrative,
limited_other_provisions,Limited Other Provisions,W043,text,text,narrative_derived,conditional_section_child,,,5,green,,Y,,llm_over_narrative,
standard_other_provisions,Standard Other Provisions,W046,text,text,narrative_derived,conditional_section_child,,,5,green,,Y,,llm_over_narrative,
expanded_duties,Expanded Duties,W049,text,text,narrative_derived,conditional_section_child,,,5,green,,Y,,llm_over_narrative,
expanded_interview_teachers,Expanded Interview Teachers,,enabler,text,narrative_derived,conditional_section_child,,,5,green,,Y,,llm_over_narrative,
expanded_interview_details,Expanded Interview Details,W053,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
