field_id,label,widget_id,type,data_type,category,subcategory,slot_group,slot_index,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county_name,County Name,,text,text,case_constant,county_name,,,0,green,Y,,,case_dict.county_name,populate_from_case_dict
docket_no,Docket No,,text,docket_number,case_constant,docket_no,,,0,green,Y,,,case_dict.docket_no,populate_from_case_dict
respondent_name,Respondent Name,,text,text,party_attr,respondent,,,0,green,Y,,,respondent_record.respondent,
petition_type,Petition Type,,select_one,checkbox,legal_choice,petition_type,,,20,yellow,,,Y,human_decision,
petitioner_info,Petitioner Info,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
petitioner_relationship,Petitioner Relationship,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
nominee_info,Nominee Info,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_info,Respondent Info,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_age,Respondent Age,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
nominee_relationship,Nominee Relationship,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
persons_to_notify,Persons To Notify,W012,text,text,narrative_derived,free_text,,,13,green,,Y,,llm_over_narrative,
emergency_conservator,Emergency Conservator,,select_one,text,narrative_derived,yes_no,,,5,green,,Y,,llm_over_narrative,"value_in(yes, no)"
emergency_conservator_info,Emergency Conservator Info,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
conservatorship_type,Conservatorship Type,,select_one,checkbox,legal_choice,conservatorship_type,,,20,yellow,,,Y,human_decision,
conservatorship_type_explanation,Conservatorship Type Explanation,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_need_description,Respondent Need Description,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
nominee_justification,Nominee Justification,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_attorney,Respondent Attorney,,select_one,text,narrative_derived,yes_no,,,5,green,,Y,,llm_over_narrative,"value_in(yes, no)"
respondent_attorney_info,Respondent Attorney Info,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
respondent_property,Respondent Property,W071,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
interpreter_required,Interpreter Required,,select_one,checkbox,legal_choice,interpreter_required,,,20,yellow,,,Y,human_decision,
nominee_bankruptcy,Nominee Bankruptcy,,select_one,checkbox,legal_choice,nominee_bankruptcy,,,20,yellow,,,Y,human_decision,
nominee_bankruptcy_explanation,Nominee Bankruptcy Explanation,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
nominee_conviction,Nominee Conviction,,select_one,checkbox,legal_choice,nominee_conviction,,,28,yellow,,,Y,human_decision,
nominee_conviction_explanation,Nominee Conviction Explanation,,text,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
incapacity_basis,Incapacity Basis,,select_many,text,narrative_derived,free_text,,,5,green,,Y,,llm_over_narrative,
date_signed,Date Signed,,date,signature,signature,date_signed,,,5,green,,,Y,wet_ink,
petitioner_signature,Petitioner Signature,,text,signature,signature,petitioner_signature,,,5,green,,,Y,wet_ink,
co_petitioner_signature,Co Petitioner Signature,,text,signature,signature,co_petitioner_signature,,,5,green,,,Y,wet_ink,
attorney_signature,Attorney Signature,,text,signature,signature,attorney_signature,,,5,green,,,Y,wet_ink,
attorney_name,Attorney Name,,text,person_name,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_address,Attorney Address,W102,text,address,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_phone,Attorney Phone,,text,phone,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_bar_number,Attorney Bar Number,,text,bar_number,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
attorney_email,Attorney Email,,text,email,party_attr,attorney,,,0,green,Y,,,attorney_record.attorney,
