case_id	case_type	event_idx	total_events	event_type	event_date	form_id	confidence	errors	status	elapsed_sec
2024-CB-00916-CON	conservatorship	1	5	petition_filing_date	2024-03-15	PP-505	0.6	0	ok	97.1
2024-CB-00916-CON	conservatorship	2	5	hearing_date	2024-04-05	N-117	0.5	0	ok	71.7
2024-CB-00916-CON	conservatorship	3	5	appointment_order_date	2024-04-12	PP-402	1.25	0	ok	155.7
2024-CB-00916-CON	conservatorship	3	5	appointment_order_date	2024-04-12	N-112	0.7	0	ok	155.7
2024-CB-00916-CON	conservatorship	4	5	appointment_anniversary	2025-03-15	PP-407	1.05	0	ok	300.4
2024-CB-00916-CON	conservatorship	4	5	appointment_anniversary	2025-03-15	PP-412	0.95	0	ok	300.4
2024-CB-00916-CON	conservatorship	5	5	appointment_anniversary	2026-03-15	PP-412	1.25	0	ok	314.6
2024-CB-00916-CON	conservatorship	5	5	appointment_anniversary	2026-03-15	PP-407	0.85	0	ok	314.6
2024-CP-011493	estate_intestate	1	6	decedent_death_date	2024-04-12	DE-101	1.25	0	ok	549.7
2024-CP-011493	estate_intestate	1	6	decedent_death_date	2024-04-12	DE-605	0.85	0	ok	549.7
2024-CP-011493	estate_intestate	1	6	decedent_death_date	2024-04-12	DE-401	0.85	0	ok	549.7
2024-CP-011493	estate_intestate	1	6	decedent_death_date	2024-04-12	DE-104	0.8	0	ok	549.7
2024-CP-011493	estate_intestate	1	6	decedent_death_date	2024-04-12	AF-102	0.7	0	ok	549.7
2024-CP-011493	estate_intestate	2	6	pr_appointment_date	2024-07-11	DE-502	0.9	0	ok	729.1
2024-CP-011493	estate_intestate	2	6	pr_appointment_date	2024-07-11	DE-405	0.8	0	ok	729.1
2024-CP-011493	estate_intestate	2	6	pr_appointment_date	2024-07-11	N-106	0.7	0	ok	729.1
2024-CP-011493	estate_intestate	2	6	pr_appointment_date	2024-07-11	N-105	0.7	0	ok	729.1
2024-CP-011493	estate_intestate	3	6	claim_filing_date	2024-08-10	DE-503	0.95	0	ok	113.6
2024-CP-011493	estate_intestate	4	6	claim_disallowance_notice_date	2024-09-09	DE-504	0.8	0	ok	209.2
2024-CP-011493	estate_intestate	4	6	claim_disallowance_notice_date	2024-09-09	PP-409	0.8	0	ok	209.2
2024-CP-011493	estate_intestate	5	6	appointment_anniversary	2025-04-12	DE-406	0.75	0	ok	170.4
2024-CP-011493	estate_intestate	6	6	final_distribution_date	2026-04-12	DE-507	0.95	0	ok	733.0
2024-CP-011493	estate_intestate	6	6	final_distribution_date	2026-04-12	DE-603	0.9	0	ok	733.0
2024-CP-011493	estate_intestate	6	6	final_distribution_date	2026-04-12	DE-602	0.85	0	ok	733.0
2024-CP-011493	estate_intestate	6	6	final_distribution_date	2026-04-12	DE-601	0.8	0	ok	733.0
2024-CP-011493	estate_intestate	6	6	final_distribution_date	2026-04-12	DE-406	0.75	0	ok	733.0
