pdf	page	field	old_rect	new_rect	underline_y
output_fused/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_fused.pdf	1	b_list_make_model_year_and_value_of_all_motor_ve	[517.0,160.0,552.0,172.0]	[432.0,160.0,552.0,172.0]	rollback
output_fused/estates/DE-201 Petition for Formal Probate of Will or Appointmet of PR (Rev. 8-6-21)_fused.pdf	4	publication_fee	[444.0,93.0,525.0,110.0]	[445.3,98.0,525.0,110.0]	110.0
output_fused/estates/DE-201(I) Application for Informal Probate of Will or Appointment (Rev. 09-12-19)_fused.pdf	4	mailing_notices_fee	[288.0,90.0,363.0,106.0]	[289.2,93.6,363.0,105.6]	105.6
output_fused/estates/DE-201(I) Application for Informal Probate of Will or Appointment (Rev. 09-12-19)_fused.pdf	4	publication_fee	[449.0,90.0,516.0,106.0]	[450.1,93.6,516.0,105.6]	105.6
output_fused/estates/DE-201(I) Application for Informal Probate of Will or Appointment (Rev. 09-12-19)_fused.pdf	4	filing_fee	[121.0,91.0,188.0,106.0]	[121.3,93.6,188.0,105.6]	105.6
output_fused/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_fused.pdf	0	non_mortgage_debts_value	[389.0,427.0,483.0,450.0]	[390.0,437.3,483.0,449.3]	449.3
output_fused/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_fused.pdf	0	real_estate_maine_value	[389.0,300.0,483.0,322.0]	[390.0,309.7,483.0,321.7]	321.7
output_fused/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_fused.pdf	0	decedent_interest_maine_real_estate_value	[389.0,506.0,483.0,528.0]	[390.0,515.8,483.0,527.8]	527.8
output_fused/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_fused.pdf	0	tangible_personal_property_value	[389.0,343.0,483.0,360.0]	[390.0,347.8,483.0,359.8]	359.8
output_fused/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_fused.pdf	0	intangible_personal_property_value	[389.0,369.0,483.0,386.0]	[390.0,373.6,483.0,385.6]	385.6
output_fused/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_fused.pdf	0	total_probate_estate_value	[389.0,395.0,483.0,411.0]	[390.0,399.2,483.0,411.2]	411.2
output_fused/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_fused.pdf	0	maine_estate_tax_return_value	[262.0,602.8,332.0,617.0]	[263.3,605.0,332.0,617.0]	n/a
output_fused/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_fused.pdf	1	estate_tax_bond_amount	[272.0,190.0,322.0,207.0]	[273.3,195.1,322.0,207.1]	207.1
output_fused/estates/DE-403 Bond For Personal Representative (Rev. 7-1-19)_fused.pdf	1	pledge_personal_property_gross_value	[266.0,111.0,448.0,129.0]	[267.0,116.6,448.0,128.6]	128.6
output_fused/estates/DE-405 Inventory (Rev. 5-6-21)_fused.pdf	0	value_row7	[288.5,635.0,400.0,656.0]	[294.7,644.0,400.0,656.0]	n/a
output_fused/estates/DE-405 Inventory (Rev. 5-6-21)_fused.pdf	1	gross_value_personal_property	[318.0,623.0,428.0,640.0]	[324.2,628.0,428.0,640.0]	n/a
output_fused/estates/DE-405 Inventory (Rev. 5-6-21)_fused.pdf	2	gross_value_of_real_property	[292.0,86.0,436.0,106.0]	[297.8,94.0,436.0,106.0]	n/a
output_fused/estates/DE-405 Inventory (Rev. 5-6-21)_fused.pdf	2	gross_value_of_real_property_encumbrances	[292.0,170.0,436.0,190.0]	[297.8,178.0,436.0,190.0]	n/a
output_fused/estates/DE-405 Inventory (Rev. 5-6-21)_fused.pdf	2	gross_value_of_personal_property	[292.0,117.0,436.0,136.0]	[297.8,124.0,436.0,136.0]	n/a
output_fused/estates/DE-405 Inventory (Rev. 5-6-21)_fused.pdf	2	gross_value_of_personal_property_encumbrances_2	[292.0,201.0,436.0,220.0]	[297.8,208.0,436.0,220.0]	n/a
output_fused/estates/DE-405 Inventory (Rev. 5-6-21)_fused.pdf	2	calculation_of_gross_and_net_estate_gross_value_of_inventory	[292.0,149.0,436.0,162.0]	[297.8,150.0,436.0,162.0]	n/a
output_fused/estates/DE-405 Inventory (Rev. 5-6-21)_fused.pdf	2	net_value_of_inventory	[292.0,234.0,436.0,246.0]	[297.8,234.0,436.0,246.0]	n/a
output_fused/estates/DE-406 Probate Account (Rev. 7-1-19)_fused.pdf	0	real_estate_net_value	[360.0,284.8,499.0,307.8]	[366.0,296.0,499.0,308.0]	308.0
output_fused/estates/DE-406 Probate Account (Rev. 7-1-19)_fused.pdf	0	intangible_personal_property_net_value	[360.0,307.8,499.0,330.8]	[366.0,319.1,499.0,331.1]	331.1
output_fused/estates/DE-406 Probate Account (Rev. 7-1-19)_fused.pdf	0	expenses_amount	[360.0,411.2,499.0,434.3]	[366.0,422.5,499.0,434.5]	434.5
output_fused/estates/DE-406 Probate Account (Rev. 7-1-19)_fused.pdf	0	exemptions_allowances_amount	[360.0,434.3,499.0,457.3]	[366.0,445.6,499.0,457.6]	457.6
output_fused/estates/DE-406 Probate Account (Rev. 7-1-19)_fused.pdf	0	current_net_total	[360.0,560.8,499.0,583.8]	[366.0,572.0,499.0,584.0]	584.0
output_fused/estates/DE-406 Probate Account (Rev. 7-1-19)_fused.pdf	0	distributions_amount	[360.0,457.3,499.0,480.2]	[366.0,468.5,499.0,480.5]	480.5
