pdf	page	field	old_rect	new_rect	underline_y
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	0	money_owed_amount	[367.2,731.8,537.2,743.8]	[368.1,731.8,537.2,743.8]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	0	cash_on_hand	[428.3,261.9,553.3,273.9]	[429.3,261.9,553.3,273.9]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	0	bail_amount	[428.3,342.4,553.3,354.4]	[429.3,342.4,553.3,354.4]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	0	other_assets_amount	[428.3,353.9,553.3,365.9]	[429.3,353.9,553.3,365.9]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	0	total_cash_assets	[428.3,365.4,553.3,377.4]	[429.3,365.4,553.3,377.4]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	0	checking_amount	[428.3,284.8,553.3,296.8]	[429.3,284.8,553.3,296.8]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	0	savings_amount	[428.3,307.8,553.3,319.8]	[429.3,307.8,553.3,319.8]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	0	stocks_bonds_amount	[428.3,330.8,553.3,342.8]	[429.3,330.8,553.3,342.8]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	0	unemployment_amount	[356.3,554.2,441.5,566.2]	[357.3,554.2,441.5,566.2]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	0	tanf_amount	[356.3,580.9,441.5,592.9]	[357.3,580.9,441.5,592.9]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	1	loan_row_1_total_owed	[305.8,343.2,411.0,355.2]	[306.9,343.2,411.0,355.2]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	1	loan_row_2_total_owed	[305.8,354.8,411.0,366.8]	[306.9,354.8,411.0,366.8]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	1	loan_row_3_total_owed	[305.8,366.3,411.0,378.3]	[306.9,366.3,411.0,378.3]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	1	housing_expenses	[392.3,261.3,482.5,273.3]	[393.3,261.3,482.5,273.3]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	1	utilities_expenses	[392.3,274.6,482.5,286.6]	[393.3,274.6,482.5,286.6]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	1	other_living_expenses	[392.3,288.1,482.5,300.1]	[393.3,288.1,482.5,300.1]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	1	total_living_expenses	[391.7,299.6,481.5,311.6]	[393.3,299.6,481.5,311.6]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	1	food_expenses	[392.3,247.8,482.5,259.8]	[393.3,247.8,482.5,259.8]	n/a
output_tree/affidavits/AF-105 Indigency-Financial Affidavit (Rev. 11-12-20)_tree.pdf	1	mortgage_amount	[286.2,129.8,361.2,141.8]	[287.1,129.8,361.2,141.8]	n/a
output_tree/estates/DE-101(I) Application for Informal - Intestate (Rev. 09-12-19)_tree.pdf	3	filing_fee	[123.2,305.9,183.2,317.9]	[124.1,305.9,183.2,317.9]	n/a
output_tree/estates/DE-201 Petition for Formal Probate of Will or Appointmet of PR (Rev. 8-6-21)_tree.pdf	4	publication_fee	[444.3,97.9,521.2,109.9]	[445.3,98.0,521.2,110.0]	110.0
output_tree/estates/DE-201 Petition for Formal Probate of Will or Appointmet of PR (Rev. 8-6-21)_tree.pdf	4	mailing_notices_fee	[273.7,97.9,350.3,109.9]	[274.7,98.0,350.3,110.0]	110.0
output_tree/estates/DE-201 Petition for Formal Probate of Will or Appointmet of PR (Rev. 8-6-21)_tree.pdf	4	filing_fee	[118.6,97.9,175.6,109.9]	[119.5,98.0,175.6,110.0]	110.0
output_tree/estates/DE-201(I) Application for Informal Probate of Will or Appointment (Rev. 09-12-19)_tree.pdf	4	publication_fee	[449.2,93.3,516.7,105.3]	[450.1,93.6,516.7,105.6]	105.6
output_tree/estates/DE-201(I) Application for Informal Probate of Will or Appointment (Rev. 09-12-19)_tree.pdf	4	filing_fee	[120.3,93.3,187.8,105.3]	[121.3,93.6,187.8,105.6]	105.6
output_tree/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_tree.pdf	0	non_mortgage_debts_expenses	[389.2,437.0,483.3,449.0]	[390.0,437.3,483.3,449.3]	449.3
output_tree/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_tree.pdf	0	decedent_interest_maine_real_estate	[389.2,515.5,483.3,527.5]	[390.0,515.8,483.3,527.8]	527.8
output_tree/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_tree.pdf	0	total_probate_estate_value	[389.2,399.0,483.3,411.0]	[390.0,399.2,483.3,411.2]	411.2
output_tree/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_tree.pdf	0	net_value_probate_estate	[389.2,462.7,483.3,474.7]	[390.0,463.0,483.3,475.0]	475.0
output_tree/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_tree.pdf	0	estimated_maine_estate_tax	[262.3,604.1,332.3,616.1]	[263.3,604.1,332.3,616.1]	n/a
output_tree/estates/DE-401(A) Certificate of Value Resident and Non Resident (Rev. 7-1-19)_tree.pdf	1	estate_tax_bond_amount	[272.3,194.9,322.8,206.9]	[273.3,195.1,322.8,207.1]	207.1
output_tree/estates/DE-403 Bond For Personal Representative (Rev. 7-1-19)_tree.pdf	0	penal_sum_numeric	[80.3,335.8,166.7,347.8]	[81.3,335.8,166.7,347.8]	n/a
output_tree/estates/DE-403 Bond For Personal Representative (Rev. 7-1-19)_tree.pdf	1	personal_property_gross_value	[266.0,116.3,432.0,128.3]	[267.0,116.6,432.0,128.6]	128.6
